TUCASEID,weight,race,age,labor_force_status,sex,day,year,category,TULINENO,region,division,state,metro_status,metro_area,county,category_sum_min,category_sum_hour,category_sum_hour_weight
20200112192144,8236898.332876,White,45,Retired,Female,7,2020,socializing,1,West,Pacific,CA,metropolitan,46700,95,0,0,0
20200112192145,7418618.416206,Asian,44,Employed-At work,Male,4,2020,socializing,1,West,Pacific,CA,metropolitan,41860,1,0,0,0
20200112192146,11579755.49457,White,73,Retired,Male,7,2020,socializing,NA,NA,NA,NA,NA,NA,NA,120,2,23159510.98914
20200112192148,24445135.715405,White,79,Employed-At work,Male,6,2020,socializing,1,South,South Atlantic,FL,metropolitan,33100,86,0,0,0
20200112192152,3440596.387901,White,85,Retired,Female,7,2020,socializing,1,South,West South Central,TX,metropolitan,41700,0,45,0.75,2580447.29092575
20200112192154,4542195.148351,Black,57,Employed-Absent,Male,7,2020,socializing,1,South,South Atlantic,MD,metropolitan,47900,17,0,0,0
20200112192159,9272339.191265,White,78,Retired,Female,4,2020,socializing,1,South,South Atlantic,GA,metropolitan,12020,0,0,0,0
20200112192162,18708441.264795,White,75,Employed-At work,Male,2,2020,socializing,1,West,Pacific,CA,metropolitan,41860,1,0,0,0
20200112192168,5046630.843347,White,36,Employed-At work,Female,1,2020,socializing,NA,NA,NA,NA,NA,NA,NA,0,0,0
20200112192174,4760041.165733,White,64,Employed-Absent,Male,7,2020,socializing,1,Northeast,Middle Atlantic,NJ,metropolitan,35620,13,0,0,0
20200112192175,6146471.340637,Black,56,Retired,Male,1,2020,socializing,1,Northeast,Middle Atlantic,NJ,metropolitan,35620,39,0,0,0
